MaxPartialCharge,ESP Minimal Value,Mid-Fun_PEOE-Charge_Sum,Atom_MR_Delta,MinAbsPartialCharge,VSA_EState7,EState_VSA10,Mid-Fun_PEOE-Charge_Mean,NumAliphaticRings,Tri_boron,Iaverage / mA cm-2,SlogP_VSA5,PEOE_VSA12,Arylchloride,Octopole Moment,SlogP_VSA4,PEOE_VSA9,ALIE Maximal Value,Arylthiol,ODI HOMO-1,Primary_arom_amine,NHOHCount,EState_VSA5,NumHDonors,Atom_PEOE-Charge_Min,Alkene,Arylfluoride,PEOE_VSA14,Secondary_aliph_amine,Fun_PEOE-Charge_Mean,MaxAbsPartialCharge
0.160496299,-56.40269,0.0,6.6283,0.160496299,0.0,0.0,0.0,0,0,125.6666667,0.0,0.0,0,34.1899,0.0,0.0,18.2313,0,14.81,0,4,0.0,2,-0.376506462,0,0,0.0,0,0.0,0.376505715
0.180637627,-55.9537,0.108697868,7.9643,0.180637627,0.0,0.0,0.036232623,0,0,87.0,0.0,0.0,0,303.0894,0.0,10.21662063,17.50528,0,13.29,1,2,11.33678588,1,-0.375082647,0,0,0.0,0,0.049973418,0.375083341
0.180638644,-58.05313,0.26488445,5.7283,0.180638644,0.0,4.390415048,0.088294817,0,0,94.66666667,0.0,0.0,0,217.4069,5.817220841,10.21662063,17.44282,0,10.85,1,2,23.46952001,1,-0.37508264,0,1,0.0,0,0.081594567,0.375083335
0.002549065,-68.57259,-0.075792075,6.6283,0.002549065,0.0,0.0,-0.075792075,0,0,132.6666667,0.0,0.0,0,58.7638,0.0,0.0,15.888,0,29.89,0,2,0.0,2,-0.329668189,0,0,0.0,0,-0.075792075,0.329661156
0.016012829,-70.96297,-0.185608524,6.6283,0.016012829,0.0,0.0,-0.185608524,0,0,84.33333333,0.0,0.0,0,200.2773,0.0,0.0,15.81404,0,14.58,0,4,0.0,2,-0.329627413,0,0,0.0,0,-0.185608524,0.329620494
0.212347832,-73.2888,-0.07446798,6.4695,0.212347832,0.0,4.794537184,-0.02482266,0,0,94.33333333,14.54883157,5.783244946,0,95.0479,0.0,9.754294387,16.14514,0,9.13,0,0,22.67357176,0,-0.286811503,0,0,0.0,0,0.0,0.28678268
0.134054667,-60.50575,-0.165646911,7.591,0.134054667,1.62037037,4.794537184,-0.165646911,1,0,97.66666667,12.84164325,0.0,0,45.7839,0.0,0.0,16.39819,0,31.12,0,0,0.0,0,-0.299687915,0,0,0.0,0,-0.165646911,0.299651667
0.278643718,-76.44639,-0.165592894,7.202,0.278643718,0.0,4.794537184,-0.165592894,1,0,93.66666667,0.0,0.0,0,54.4043,0.0,0.0,16.94588,0,25.3,0,1,11.76188495,1,-0.346131983,0,0,0.0,1,-0.165592894,0.346132827
0.089427472,-68.1418,-0.506368642,6.7672,0.089427472,-1.479938272,0.0,-0.126592161,0,0,94.33333333,0.0,0.0,0,94.4461,0.0,12.20793278,16.6395,0,24.2,0,2,0.0,4,-0.389563735,0,0,0.0,0,-0.144038302,0.389545831
0.128371272,-49.87844,0.245302247,6.7672,0.128371272,0.0,0.0,0.081767416,0,0,106.6666667,0.0,0.0,0,63.306,0.0,0.0,17.62157,1,14.72,0,1,0.0,2,-0.506812433,0,0,0.0,0,-6.01e-17,0.506794809
