Atom_MR_Std,EState_VSA7,Atom1_ESP All average (kcal/mol),Iaverage / mA cm-2,Fun_PEOE-Charge_Std,NumAliphaticRings,Long/Sum Size Ratio,VSA_EState7,NumAliphaticCarbocycles,c1ccncc1,Tri_boron,PEOE_VSA10,NumSaturatedCarbocycles,SMR_VSA4,Arylchloride,SlogP_VSA5,NumHDonors,Farthest Distance,Atom1_ESP Pi (kcal/mol),Fun_PEOE-Charge_Delta,SlogP_VSA4,SlogP_VSA7,Tertiary_arom_amine,Alkylfluoride,Alcohol,NumSaturatedRings,Molecular Size Long,Conju_PEOE-Charge_Delta,Conju_PEOE-Charge_Std,c1nc_nH_n1,c1c_nH_cn1,c1ccc2sc_n+_c2c1,c1cc_nH_c1,Atom_PEOE-Charge_Sum,Alkene,HOMO,SMR_VSA10,SMR_VSA5,Amide,Secondary_arom_amine,Trifluoromethyl
1.925865958,0.0,10.79785,136.3333333,0.019336554,0,0.420150107,0.0,0,0,0,6.041840829,0,5.733667477,0,0.0,3,5.399,15.188635,0.038673107,0.0,0.0,0,0,0,0,8.453,0.0,0.0,0,0,0,0,-3.89e-16,0,-0.246164,18.59809444,6.041840829,0,0,0
1.988102924,0.0,24.44678,113.6666667,0.033105986,0,0.48431105,0.0,0,0,0,12.08368166,0,11.46733495,0,0.0,4,9.751,15.831529,0.070228401,0.0,0.0,0,0,0,0,12.78,0.0,0.0,0,0,0,0,-4.44e-16,0,-0.242403,33.52640653,12.08368166,0,0,0
1.988102924,0.0,19.91552,115.6666667,0.033105986,0,0.474979306,0.0,0,0,0,12.08368166,0,11.46733495,0,0.0,4,9.601,16.519479,0.070228401,0.0,0.0,0,0,0,0,12.624,0.0,0.0,0,0,0,0,-4.44e-16,0,-0.238815,33.52640653,12.08368166,0,0,0
1.988102924,0.0,31.61961,112.6666667,0.033105986,0,0.479327233,0.0,0,0,0,12.08368166,0,11.46733495,0,0.0,4,9.883,15.155981,0.070228401,0.0,0.0,0,0,0,0,12.625,0.0,0.0,0,0,0,0,-4.44e-16,0,-0.242196,33.52640653,12.08368166,0,0,0
2.281761674,0.0,-41.88401,125.6666667,0.0,0,0.391383495,0.0,0,0,0,0.0,0,11.46733495,0,0.0,2,4.05,10.042731,0.0,0.0,0.0,0,0,0,0,6.45,0.0,0.0,0,0,0,0,2.22e-16,0,-0.217963,17.33031033,0.0,0,0,0
2.140934638,18.19910121,28.08044,87.0,0.114573334,0,0.508228632,0.0,0,0,0,0.0,0,0.0,0,0.0,1,8.506,15.385835,0.303580441,0.0,0.0,0,0,0,0,11.488,0.0,0.0,0,0,0,0,5.55e-17,0,-0.219127,42.61490889,0.0,0,0,0
1.614145901,0.0,26.13172,94.66666667,0.221152786,0,0.490072707,0.0,0,0,0,5.817220841,0,0.0,0,0.0,1,7.935,15.337022,0.60876981,5.817220841,0.0,0,0,0,0,10.515,0.0,0.0,0,0,0,0,0.0,0,-0.217905,26.68496499,0.0,0,0,0
1.869907492,0.0,-6.34231,132.6666667,0.0,0,0.454064734,0.0,0,0,0,0.0,0,5.733667477,0,0.0,2,4.879,14.041539,0.0,0.0,0.0,0,0,0,0,7.814,0.0,0.0,0,0,0,0,2.78e-17,0,-0.24286,12.62878915,0.0,0,0,0
1.947875412,0.0,-0.28609,84.33333333,0.0,0,0.50853674,0.0,0,0,0,0.0,0,11.46733495,0,0.0,2,9.665,14.101099,0.0,0.0,0.0,0,0,0,0,12.063,0.0,0.0,0,0,0,0,0.0,0,-0.234512,21.58779595,0.0,0,0,0
1.866263313,35.02559381,11.0938,94.33333333,0.052656814,0,0.504428529,0.0,0,0,0,0.0,0,0.0,0,14.54883157,0,9.505,11.606484,0.11170197,0.0,0.0,0,0,0,0,11.903,0.0,0.0,0,0,0,0,8.33e-17,0,-0.250199,28.4568167,0.0,0,0,0
1.877797781,11.76188495,2.47761,97.66666667,0.0,1,0.38576573,1.62037037,0,0,0,5.783244946,0,0.0,0,12.84164325,0,5.083,14.288166,0.0,0.0,0.0,0,0,0,1,7.713,0.0,0.0,0,0,0,0,-1.25e-16,0,-0.230534,17.5451299,12.84164325,0,0,0
2.074551238,0.0,3.24825,93.66666667,0.0,1,0.391493655,0.0,0,0,0,0.0,0,0.0,0,0.0,1,4.713,14.46317,0.0,0.0,0.0,0,0,0,1,7.373,0.0,0.0,0,0,0,0,2.36e-16,0,-0.249333,17.00109666,0.0,0,0,0
2.020989227,0.0,8.52355,94.33333333,0.04934514,0,0.487332751,-1.479938272,0,0,0,0.0,0,0.0,0,0.0,4,7.009,13.811136,0.104676849,0.0,0.0,0,0,2,0,10.599,0.0,0.0,0,0,0,0,1.67e-16,0,-0.241541,25.2575783,12.20793278,0,0,0
