Conju-Part-Wt (Max-Conju),VSA_EState7,Fun_MR_Sum,Num of Conju-All-Atoms,Conju_PEOE-Charge_Max,Fun_LogP_Sum,EState_VSA10,SMR_VSA9,Conju_LogP_Max,PEOE_VSA12,NumSaturatedRings,Conju_MR_Sum,Octopole Moment,VSA_EState8,Conju_LogP_Min,SlogP_VSA10,PEOE_VSA14,MolLogP,Mid-Fun_LogP_Delta,Arylchloride,MaxAbsEStateIndex,NumAliphaticRings,Length/Diameter,Conju_LogP_Mean,EState_VSA2,NumRotatableBonds,SlogP_VSA7,MaxAbsPartialCharge,Secondary_arom_amine,Fun_LogP_Min,Thioacetal,EState_VSA6,Atom1_ALIE Min value,SlogP_VSA6,Mid-Fun_MR_Delta,EState_VSA5,Sulfon,HOMO,Primary_arom_amine,Alkene,c1ccc2sc_n+_c2c1,Nitro,c1ccc2occcc2c1,Lactone,Farthest Distance,Oxoarene,Conju_PEOE-Charge_Delta,c1ccsc1,Conju_PEOE-Charge_Std
104.133,0.0,70.9336,14,0.414992463,1.2118,21.31686708,0.0,1.5924,0.0,0,64.146,284.7063,0.0,1.5924,4.481273115,0.0,1.9507,0.6702,0,13.98730537,0,0.971485706,1.5924,0.0,4,0.0,0.283110933,0,-0.9889,0,0.0,14.408329,70.45463764,8.9198,36.39820241,0,-0.280138,0,0,0,0,0,0,11.103,0,0.0,0,0.0
44.009,-0.234962233,40.543,12,-0.111501017,-2.3165,19.17814874,0.0,-0.4222,11.81435946,0,31.557,1243.5247,-0.566597345,-0.9263,0.0,11.93861058,-2.2061,1.3068,0,11.50371352,0,0.972792675,-0.67425,18.59449685,9,0.0,0.480086286,0,-0.9263,0,0.0,8.250049,0.0,1.3502,0.0,0,-0.245611,0,0,0,0,0,0,12.571,0,0.12310979,0,0.055193391
44.009,0.0,16.6218,3,-0.113511521,-0.0417,4.794537184,0.0,-0.4222,0.0,0,7.6358,57.1776,0.0,-0.4222,0.0,5.969305288,-0.6719,0.8027,0,9.756435185,0,1.041266322,-0.4222,5.752853607,2,0.0,0.480063884,0,-0.4222,0,0.0,8.236622,0.0,1.3502,0.0,0,-0.246164,0,0,0,0,0,0,5.399,0,0.0,0,0.0
44.009,0.0,30.4536,6,-0.113467355,0.452,9.589074368,0.0,-0.4222,0.0,0,15.2716,493.2632,0.0,-0.4222,0.0,11.93861058,-0.8084,1.7186,0,10.26917648,0,0.999061914,-0.4222,11.50570721,7,0.0,0.480063385,0,-0.4222,0,0.0,8.549594,0.0,7.5462,21.58779595,0,-0.242403,0,0,0,0,0,0,9.751,0,0.0,0,0.0
44.009,0.0,30.4536,6,-0.113467355,0.452,9.589074368,0.0,-0.4222,0.0,0,15.2716,503.0731,0.0,-0.4222,0.0,11.93861058,-0.8084,1.7186,0,10.26917648,0,0.998576175,-0.4222,11.50570721,7,0.0,0.480063385,0,-0.4222,0,0.0,8.478734,0.0,7.5462,21.58779595,0,-0.238815,0,0,0,0,0,0,9.601,0,0.0,0,0.0
44.009,0.0,30.4536,6,-0.113467355,0.452,9.589074368,0.0,-0.4222,0.0,0,15.2716,549.9213,0.0,-0.4222,0.0,11.93861058,-0.8084,1.7186,0,10.26917648,0,1.027927048,-0.4222,11.50570721,7,0.0,0.480063385,0,-0.4222,0,0.0,8.580849,0.0,7.5462,21.58779595,0,-0.242196,0,0,0,0,0,0,9.883,0,0.0,0,0.0
72.092,0.0,0.0,4,3.33e-16,0.0,0.0,0.0,-0.8113,0.0,0,20.9728,34.1899,0.0,-0.8113,0.0,0.0,-0.8113,0.0,0,4.62037037,0,1.0,-0.8113,5.112436885,0,0.0,0.376505715,0,0.0,0,0.0,7.330919,0.0,0.0,0.0,0,-0.217963,0,0,0,0,0,0,4.05,0,0.0,0,0.0
224.062,0.0,98.4774,11,4.16e-17,5.626,0.0,0.0,2.641,0.0,0,51.7324,303.0894,0.0,2.641,5.13155848,0.0,2.641,1.4442,0,5.532732426,0,0.994115611,2.641,0.0,0,0.0,0.375083341,0,-0.5986,0,0.0,9.501396,22.67182072,8.927,11.33678588,0,-0.219127,1,0,0,0,0,0,8.506,0,0.0,0,0.0
163.156,0.0,90.8124,11,2.78e-17,4.8046,4.390415048,0.0,2.0176,0.0,0,43.9904,217.4069,0.0,2.0176,9.521973528,0.0,2.0176,1.0188,0,12.58394747,0,0.991419951,2.0176,5.817220841,0,0.0,0.375083335,0,-0.5986,0,6.066367068,9.468685,18.19910121,4.7524,23.46952001,0,-0.217905,1,0,0,0,0,0,7.935,0,0.0,0,0.0
0.0,0.0,8.986,0,0.0,0.3805,0.0,0.0,0.0,0.0,0,0.0,58.7638,0.683641975,0.0,0.0,0.0,-0.1251,0.0,0,4.951388889,0,1.073351648,0.0,0.0,1,0.0,0.329661156,0,0.3805,0,0.0,8.104248,0.0,0.0,0.0,0,-0.24286,0,0,0,0,0,0,4.879,0,0.0,0,0.0
