Atom1_ESP All area (Ang^2),c1ccncc1,Atom1_ALIE Max value,Atom1_ESP Minimal value (kcal/mol),Mid-Fun_MR_Max,NumAromaticRings,Conju_LogP_Max,Conju_PEOE-Charge_Mean,Mid-Fun_LogP_Mean,PEOE_VSA2,Conju-Part-Wt (Max-Conju),c1ccsc1,Conju_PEOE-Charge_Sum,Thioacetal,Atom1_ESP All average (kcal/mol),BalabanJ,Mid-Fun_LogP_Max,Conju_PEOE-Charge_Max,Amide,PEOE_VSA9,SlogP_VSA8,VSA_EState7,Atom_LogP_Delta,Tri_boron,Atom1_ALIE Min value,Conju_LogP_Mean,Dialkylthioether,HallKierAlpha,SMR_VSA1,PEOE_VSA12,Conju_LogP_Min,Fun_MR_Min,Fun_PEOE-Charge_Min,MinAbsEStateIndex,MaxAbsEStateIndex,Atom_LogP_Min
2.33189,0,17.26369,23.044122,44.3866,2,1.5924,0.414992463,0.2708,0.0,104.133,0,0.829984925,0,64.63303,2.492549953,0.6059,0.414992463,0,13.72361334,0.0,0.0,0.7541,0,14.408329,1.5924,0,-1.77,21.31686708,0.0,1.5924,10.7588,-0.039045538,0.442586924,13.98730537,-0.3339
15.69442,0,13.729243,-18.554102,8.986,0,-0.4222,-0.167395315,-0.4633,19.17814874,44.009,0,-0.669581261,0,8.3807,4.208861414,0.3805,-0.111501017,2,0.0,0.0,-0.234962233,1.6672,0,8.250049,-0.67425,0,-1.81,29.39120353,11.81435946,-0.9263,7.6358,-0.234610807,0.025618544,11.50371352,-1.019
15.46369,0,13.726388,-22.644251,8.986,0,-0.4222,-0.113511521,-0.02085,4.794537184,44.009,0,-0.113511521,0,10.79785,3.343417059,0.3805,-0.113511521,0,0.0,0.0,0.0,1.6672,0,8.236622,-0.4222,0,-0.22,9.901064579,0.0,-0.4222,7.6358,-0.113511521,0.189814815,9.756435185,-1.019
17.06745,0,14.762239,-11.0235,15.182,0,-0.4222,-0.113467355,0.150666667,9.589074368,44.009,0,-0.22693471,0,24.44678,3.468179396,1.2964,-0.113467355,0,0.0,0.0,0.0,1.6672,0,8.549594,-0.4222,0,-0.44,19.80212916,0.0,-0.4222,7.6358,-0.183695756,0.22851096,10.26917648,-1.019
16.70623,0,14.68035,-19.730296,15.182,0,-0.4222,-0.113467355,0.150666667,9.589074368,44.009,0,-0.22693471,0,19.91552,3.468179396,1.2964,-0.113467355,0,0.0,0.0,0.0,1.6672,0,8.478734,-0.4222,0,-0.44,19.80212916,0.0,-0.4222,7.6358,-0.183695756,0.22851096,10.26917648,-1.019
16.3105,0,14.881193,-0.206847,15.182,0,-0.4222,-0.113467355,0.150666667,9.589074368,44.009,0,-0.22693471,0,31.61961,3.468179396,1.2964,-0.113467355,0,0.0,0.0,0.0,1.6672,0,8.580849,-0.4222,0,-0.44,19.80212916,0.0,-0.4222,7.6358,-0.183695756,0.22851096,10.26917648,-1.019
23.20626,0,11.131528,-56.402686,0.0,0,-0.8113,3.33e-16,0.0,0.0,72.092,0,3.33e-16,0,-41.88401,2.803039488,0.0,3.33e-16,0,0.0,0.0,0.0,1.6672,0,7.330919,-0.8113,0,-0.31,0.0,0.0,-0.8113,0.0,0.0,2.22e-16,4.62037037,-1.019
17.57887,0,15.330483,0.45684,51.7324,2,2.641,4.16e-17,2.558666667,0.0,224.062,0,4.16e-17,0,28.08044,2.815963154,3.2396,4.16e-17,0,10.21662063,10.21662063,0.0,1.8726,0,9.501396,2.641,0,-0.61,0.0,0.0,2.641,4.7524,-0.057905355,0.623240741,5.532732426,-1.027
17.58293,0,15.655393,-1.56313,43.9904,2,2.0176,2.78e-17,2.077066667,0.0,163.156,0,2.78e-17,0,26.13172,2.815963154,2.6162,2.78e-17,0,10.21662063,10.21662063,0.0,1.6507,0,9.468685,2.0176,0,-1.16,4.390415048,0.0,2.0176,1.108,-0.206979101,0.248935185,12.58394747,-1.027
15.58023,0,13.438018,-33.364894,8.986,0,0.0,0.0,0.3805,0.0,0.0,0,0.0,0,-6.34231,1.974744871,0.3805,0.0,0,0.0,0.0,0.0,1.6672,0,8.104248,0.0,0,0.31,0.0,0.0,0.0,8.986,-0.075792075,0.683641975,4.951388889,-1.019
17.23098,0,14.890407,-29.333056,15.182,0,0.0,0.0,1.2964,0.0,0.0,0,0.0,0,-0.28609,2.530060457,1.2964,0.0,0,0.0,0.0,0.0,1.6672,0,8.386776,0.0,0,0.62,0.0,0.0,0.0,15.182,-0.185608524,0.766109221,5.245325964,-1.019
